vendor,quote_number,total2,requisition_number,requisition_date,po_number,po_date,VENDOR INVOICE REQUESTED DATE,RECEIVED INVOICE DATE,invoice_number,invoice_date,received_date,sent_to_ap_date,notes,status,URL
RAMM INC,,$877.50 ,FPO0085285,10/9/2024,728046239,10/11/2024,,10/9/2024,66023,10/8/2024,10/14/2024,10/15/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,https://phsi.service-now.com/now/nav/ui/classic/params/target/x_nuvo_eam_facilities_purchase_order.do%3Fsys_id%3Ddcc2b7033b099a903008ca8c24e45ab1%26sysparm_view%3DAssetUser%26sysparm_domain%3Dnull%26sysparm_domain_scope%3Dnull
RAMM INC,,$702.00 ,FPO0085286,10/9/2024,728046237,10/11/2024,,10/9/2024,66024,10/8/2024,10/14/2024,10/15/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0085286 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,$351.00 ,FPO0085288,10/9/2024,728046238,10/11/2024,,10/9/2024,66025,10/8/2024,10/14/2024,10/15/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0085288 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$17,750.00 ",,,,,,10/9/2024,66049,10/9/2024,,10/15/2024,Corporate forwarded to AP,Sent To AP ,
RAMM INC,,"$1,316.25 ",FPO0085654,10/16/2024,728046376,10/22/2024,,10/16/2024,66099,10/15/2024,10/23/2024,10/24/2024,"PO Approved, Received Invoice, Sent to AP",Sent To AP ,FPO0085654 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$1,053.00 ",FPO0085656,10/16/2024,728046381,10/22/2024,,10/16/2024,66098,10/15/2024,10/23/2024,10/24/2024,"PO Approved, Received Invoice, Sent to AP",Sent To AP ,FPO0085656 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,$924.01 ,FPO0085658,10/16/2024,728046377,10/22/2024,,10/16/2024,66097,10/15/2024,10/23/2024,10/24/2024,"PO Approved, Received Invoice, Sent to AP",Sent To AP ,FPO0085658 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$5,095.04 ",FPO0086017,10/22/2024,728046363,10/22/2024,,10/22/2024,66120,10/21/2024,10/22/2024,10/22/2024,"PO Approved, Received Invoice, Sent to AP",Sent To AP ,FPO0086017 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,$877.50 ,FPO0086021,10/22/2024,728046382,10/22/2024,,10/22/2024,66121,10/21/2024,10/23/2024,10/24/2024,"PO Approved, Received Invoice, Sent to AP",Sent To AP ,FPO0086021 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,$351.00 ,FPO0086251,10/24/2024,728046474,10/28/2024,,10/24/2024,66004,10/7/2024,10/30/2024,10/30/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0086251 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$6,880.14 ",FPO0086229,10/24/2024,728046437,10/25/2024,,10/24/2024,66003,10/7/2024,10/28/2024,10/28/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0086229 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$1,015.00 ",FPO0087103,11/6/2024,728046580,11/6/2024,,11/6/2024,66167,11/5/2024,11/7/2024,11/8/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0087103 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$1,112.48 ",FPO0087106,11/6/2024,728046642,11/8/2024,,11/6/2024,66168,11/5/2024,11/11/2024,11/12/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0087106 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$2,110.65 ",FPO0087108,11/6/2024,728046668,11/11/2024,,11/6/2024,66169,11/5/2024,11/11/2024,11/12/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0087108 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,$702.00 ,FPO0087118,11/6/2024,728046639,11/8/2024,,11/6/2024,66170,11/5/2024,11/11/2024,11/12/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0087118 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$2,106.00 ",FPO0087120,11/6/2024,728046641,11/8/2024,,11/6/2024,66171,11/5/2024,11/11/2024,11/12/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0087120 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$4,375.00 ",FPO0074276,4/11/2024,,,,11/12/2024,65945,9/13/2024,11/14/2024,11/15/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0074276 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$2,720.72 ",FPO0087544,11/13/2024,728046733,11/15/2024,,11/12/2024,66182,11/6/2024,11/15/2024,11/19/2024,"PO Approved, Invoice Received, and sent to AP",Sent To AP ,FPO0087544 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$1,642.67 ",FPO0087546,11/13/2024,728046760,11/19/2024,,11/12/2024,66183,11/6/2024,11/19/2024,11/20/2024,"PO Approved, Invoice Received, and sent to AP",Sent To AP ,FPO0087546 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,$702.00 ,FPO0087550,11/13/2024,728046759,11/19/2024,,11/12/2024,66184,11/6/2024,11/19/2024,11/20/2024,"PO Approved, Invoice Received, and sent to AP",Sent To AP ,FPO0087550 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$1,331.36 ",FPO0087556,11/13/2024,728046761,11/19/2024,,11/12/2024,66031,10/9/2024,11/19/2024,11/20/2024,"PO Approved, Invoice Received, and sent to AP",Sent To AP ,FPO0087556 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,$351.00 ,FPO0088002,11/20/2024,728046854,11/22/2024,,11/20/2024,66244,11/19/2024,11/22/2024,11/25/2024,"PO Approved, Invoice Received, Sent to AP",Sent To AP ,FPO0088002 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,$702.00 ,FPO0088021,11/20/2024,728046853,11/22/2024,,11/20/2024,66245,11/19/2024,11/22/2024,11/25/2024,"PO Approved, Invoice Received, Sent to AP",Sent To AP ,FPO0088021 | Facilities Requisition | ServiceNow (service-now.com)
RAMM INC,,"$4,795.80 ",FPO0088201,11/25/2024,728046903,11/25/2024,,11/22/2024,66267,11/22/2024,11/26/2024,11/27/2024,"PO Approved, Invoice Received, Sent to AP",Sent To AP ,FPO0088201 | Facilities Requisition | ServiceNow (service-now.com)
SHERWIN WILLIAMS CO INC,Ceiling Tile Quote 9/30/2024,"$2,634.62 ",FPO0084573,10/1/2024,728046075,10/2/2024,10/2/2024,10/11/2024,9544-0,10/10/2024,10/11/2024,10/11/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0084573 | Facilities Requisition | ServiceNow (service-now.com)
UNION ELECTRIC CONTRACTING CO,240728,"$1,435.00 ",FPO0084563,10/1/2024,728046080,10/2/2024,10/9/2024,10/10/2024,206794-20100-1,10/10/2024,10/10/2024,10/10/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0084563 | Facilities Requisition | ServiceNow (service-now.com)
UNION ELECTRIC CONTRACTING CO,,"$1,435.00 ",FPO0083817,9/18/2024,728045910,9/19/2024,,10/14/2024,206732-20280-1,10/14/2024,10/14/2024,10/15/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0083817 | Facilities Requisition | ServiceNow (service-now.com)
UNION ELECTRIC CONTRACTING CO,240732,"$5,740.00 ",FPO0084570,10/1/2024,728046160,10/7/2024,10/9/2024,11/11/2024,206794-20120-1,11/11/2024,11/11/2024,11/12/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0084570 | Facilities Requisition | ServiceNow (service-now.com)
WALTER A DWYER INC,,$992.95 ,FPO0088259,11/25/2024,728046912,11/26/2024,,11/25/2024,44904,11/20/2024,11/26/2024,11/27/2024,"PO Approved, Invoice Received, Sent to AP",Sent To AP ,FPO0088259 | Facilities Requisition | ServiceNow (service-now.com)
WYATT ELEVATOR COMPANY,Contract Installment,$458.00 ,FPO0081827,8/16/2024,728045466,8/16/2024,,10/7/2024,29460,10/1/2024,10/7/2024,10/7/2024,"PO approved, Invoice Received, and Sent to ROX AP",Sent To AP ,FPO0081827 | Facilities Requisition | ServiceNow (service-now.com)
WYATT ELEVATOR COMPANY,Contract Installment,$458.00 ,FPO0081827,8/16/2024,728045466,8/16/2024,,11/7/2024,29722,11/1/2024,11/7/2024,11/8/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0081827 | Facilities Requisition | ServiceNow (service-now.com)
WYATT ELEVATOR COMPANY,Contract Installment,$458.00 ,FPO0081827,8/16/2024,728045466,8/16/2024,,11/8/2024,29333,9/1/2024,11/8/2024,11/8/2024,"PO Approved, Received Invoice, and Sent to AP",Sent To AP ,FPO0081827 | Facilities Requisition | ServiceNow (service-now.com)
