vendor,quote_number,total2,requisition_number,requisition_date,po_number,po_date,VENDOR INVOICE REQUESTED DATE,RECEIVED INVOICE DATE,invoice_number,invoice_date,received_date,sent_to_ap_date,notes,status,URL
STRYKER MEDICAL,Quote #WO-08463737,$360.00,FPO0089069,12/11/2024,728047169,12/11/2024,,,,,,,PO For House Keeping (EVS),Requisition,FPO0089069 | Facilities Requisition | ServiceNow (service-now.com)
STRYKER MEDICAL,Quote #WO-08411730,$457.60,FPO0089075,12/11/2024,728047170,12/11/2024,,,,,,,PO For House Keeping (EVS),Requisition,FPO0089075 | Facilities Requisition | ServiceNow (service-now.com)
STRYKER MEDICAL,Quote #WO-08411734,$757.60,FPO0089077,12/11/2024,728047172,12/11/2024,,,,,,,PO For House Keeping (EVS),Requisition,FPO0089077 | Facilities Requisition | ServiceNow (service-now.com)
Grainger,Grainger Order 12/31/2024,$353.39,FPO0090080,12/31/2024,728047464,1/2/2025,,,,,,,Submited by ER - LED Light fixtures supplies + TV repair ,Requisition,https://phsi.service-now.com/now/nav/ui/classic/params/target/x_nuvo_eam_facilities_purchase_order.do%3Fsys_id%3D37369b3533f2129061ab45659d5c7b25%26sysparm_view%3DAssetUser%26sysparm_domain%3Dnull%26sysparm_domain_scope%3Dnull
ELLIOTT LEWIS,73PM02 / ROX5800 (A/R RO1130),"$2,876.00(4 Qtrs @$719.00)",FPO0088815,12/6/2024,,,,,,,,,,Requisition,FPO0088815 | Facilities Requisition | ServiceNow (service-now.com)
STRYKER MEDICAL,Quote #WO-07717842,"$1,465.20",FPO0089045,12/11/2024,728047161,12/11/2024,,,,,,,PO For House Keeping (EVS),Requisition,FPO0089045 | Facilities Requisition | ServiceNow (service-now.com)
STRYKER MEDICAL,Quote #WO-08463733,$360.00,FPO0089052,12/11/2024,728047168,12/11/2024,,,,,,,PO For House Keeping (EVS),Requisition,FPO0089052 | Facilities Requisition | ServiceNow (service-now.com)
STRYKER MEDICAL,Quote #WO-08463737,$360.00,FPO0089069,12/11/2024,728047169,12/11/2024,,,,,,,PO For House Keeping (EVS),Requisition,FPO0089069 | Facilities Requisition | ServiceNow (service-now.com)
STRYKER MEDICAL,Quote #WO-08411730,$457.60,FPO0089075,12/11/2024,728047170,12/11/2024,,,,,,,PO For House Keeping (EVS),Requisition,FPO0089075 | Facilities Requisition | ServiceNow (service-now.com)
STRYKER MEDICAL,Quote #WO-08411734,$757.60,FPO0089077,12/11/2024,728047172,12/11/2024,,,,,,,PO For House Keeping (EVS),Requisition,FPO0089077 | Facilities Requisition | ServiceNow (service-now.com)
BLEJWAS ASSOCIATES INC,,$503.76 ,FPO0090032,12/31/2024,,,,12/30/2024,76789,10/23/2024,,,,Requisition,FPO0090032 | Facilities Requisition | ServiceNow (service-now.com)
